nj,d,d_nj,fte,bk,kfc,roys,wendys,co_owned,centralj,southj,pa1,pa2,demp,restaurant_id,treat,post,did,state,period
1,0,0,15.0,1,0,0,0,0,1,0,0,0,12.0,1,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.0,1,0,0,0,0,1,0,0,0,6.5,2,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,0,0,1,0,0,1,0,0,0,-1.0,3,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.25,0,0,1,0,1,0,0,0,0,2.25,4,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,1,0,0,0,0,0,0,0,0,13.0,5,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.5,0,1,0,0,0,0,0,0,0,1.0,6,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,44.0,0,0,0,1,0,0,0,0,0,-27.5,7,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,1,0,0,0,0,0,0,0,0,,8,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,1,0,0,0,0,0,0,0,0,17.0,9,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,28.0,0,0,0,1,0,0,1,0,0,8.0,10,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.0,0,0,0,1,0,0,1,0,0,6.0,11,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,1,0,0,0,0,0,0,0,0,0.0,12,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,25.5,0,0,1,0,1,0,0,0,0,-6.5,13,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,19.0,0,0,0,1,0,0,0,0,0,34.0,14,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.5,1,0,0,0,0,0,1,0,0,0.0,15,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,1,0,0,0,1,0,1,0,0,-0.5,16,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,27.5,1,0,0,0,1,0,0,0,0,17.5,17,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,5.0,0,0,1,0,1,1,0,0,0,3.0,18,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.0,0,1,0,0,0,1,0,0,0,-0.5,19,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,41.5,1,0,0,0,0,0,0,0,0,-17.5,20,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.0,0,1,0,0,1,1,0,0,0,-5.5,21,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.0,0,1,0,0,0,0,0,0,0,-2.5,22,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.0,0,1,0,0,0,1,0,0,0,3.5,23,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,26.0,0,0,1,0,0,0,0,0,0,-9.5,24,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,0,0,0,1,0,1,0,0,0,15.5,25,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,35.0,0,0,1,0,0,0,0,0,0,2.0,26,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.0,0,0,1,0,1,0,0,0,0,-3.0,27,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,34.5,0,0,0,1,0,0,0,0,0,-8.0,28,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.25,0,0,0,1,0,0,0,0,0,14.75,29,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.5,0,0,0,1,0,0,0,0,0,,30,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.0,1,0,0,0,0,1,0,0,0,0.5,31,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.0,1,0,0,0,1,1,0,0,0,8.5,32,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.5,0,1,0,0,0,1,0,0,0,-1.5,33,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.5,0,0,0,1,0,0,0,0,0,,34,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,20.0,0,0,0,1,0,0,0,0,0,3.5,35,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,12.25,0,1,0,0,1,1,0,0,0,0.75,36,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,33.0,0,0,1,0,0,1,0,0,0,-13.0,37,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,31.5,0,0,1,0,0,1,0,0,0,-9.5,38,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,,0,0,0,1,0,1,0,0,0,,39,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,18.0,0,0,0,1,0,1,0,0,0,,40,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,28.0,0,0,0,1,0,1,0,0,0,-2.5,41,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,16.5,1,0,0,0,0,0,0,0,0,1.5,42,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,14.75,1,0,0,0,0,0,0,0,0,-5.75,43,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.5,1,0,0,0,0,0,0,0,0,3.0,44,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,10.0,1,0,0,0,0,0,0,0,0,-10.0,45,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,46.5,1,0,0,0,0,0,0,0,0,-22.75,46,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,15.5,0,1,0,0,0,0,0,0,0,2.5,47,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.5,0,0,1,0,1,0,0,0,0,11.5,48,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,24.0,0,0,1,0,1,0,0,0,0,-3.0,49,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,0,0,1,0,1,0,0,0,0,-7.5,50,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,28.0,0,0,0,1,0,0,0,0,0,-5.5,51,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,32.5,1,0,0,0,1,0,0,0,0,-5.5,52,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,1,0,0,0,1,0,0,0,0,11.0,53,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,17.0,0,0,1,0,0,0,0,0,0,-0.25,54,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,30.0,0,0,1,0,1,0,0,0,0,-4.0,55,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,21.5,0,0,0,1,1,0,0,0,0,-3.5,56,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,32.0,1,0,0,0,0,0,0,0,0,-11.5,57,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,8.0,1,0,0,0,0,0,0,0,0,7.0,58,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,35.5,0,0,1,0,1,0,0,0,0,-10.0,59,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,31.5,0,0,1,0,0,0,0,0,0,,60,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,33.0,0,0,1,0,1,0,0,0,0,-13.0,61,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,22.0,0,0,1,0,0,0,0,0,0,-4.0,62,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,1,0,0,0,0,0,1,0,0,3.5,63,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,23.0,1,0,0,0,1,0,1,0,0,0.25,64,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,8.5,0,1,0,0,1,0,1,0,0,2.0,65,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,12.5,0,1,0,0,1,0,1,0,0,-0.5,66,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,9.5,0,1,0,0,1,0,1,0,0,0.0,67,1,0,0,New Jersey,Pre (Feb 1992)
1,0,0,13.0,0,1,0,0,1,0,1,0,0,2.5,68,1,0,0,New Jersey,Pre (Feb 1992)
