model,term,coefficient,std_error,statistic,p_value,ci_low,ci_high,nobs
M1 standard DID (restaurant-clustered),Intercept,23.33116883116889,1.3465359586407601,17.32680711677405,2.9527265049989027e-67,20.69200684834488,25.970330813992895,794
M1 standard DID (restaurant-clustered),treat,-2.8917607314804155,1.439546193052361,-2.0088002354053205,0.044558323292408684,-5.713219423944787,-0.07030203901604404,794
M1 standard DID (restaurant-clustered),post,-2.1655844155844055,1.2180247330240674,-1.7779478173713037,0.07541242570181425,-4.552869024590592,0.2217001934217815,794
M1 standard DID (restaurant-clustered),did,2.7536057829805713,1.3066070124191222,2.107447577433706,0.035078801218529396,0.19270309669161279,5.31450846926953,794
M2 DID + controls (restaurant-clustered),Intercept,24.887467515196747,1.413104952950092,17.611903109701803,1.996191552904913e-69,22.117832701039397,27.657102329354096,794
M2 DID + controls (restaurant-clustered),treat,-2.376608093773228,1.2748606858311262,-1.8642100428595725,0.06229221359227887,-4.875289123308268,0.12207293576181222,794
M2 DID + controls (restaurant-clustered),post,-2.2235650408653767,1.22490100518352,-1.815301833744705,0.0694775373586543,-4.624326895651986,0.17719681392123254,794
M2 DID + controls (restaurant-clustered),did,2.8450665553839243,1.312869890694528,2.1670590326958,0.030230353157077866,0.27188885323561207,5.418244257532237,794
M2 DID + controls (restaurant-clustered),co_owned,-1.1685454501645334,0.7785634087008022,-1.500899524824187,0.13338155111124336,-2.694501690898844,0.3574107905697774,794
M2 DID + controls (restaurant-clustered),bk,1.0637086231517017,1.1131814914682705,0.955557230608178,0.3392959782192314,-1.11808700838269,3.245504254686093,794
M2 DID + controls (restaurant-clustered),kfc,-9.389681083911542,1.0799774575397372,-8.694330625476091,3.488804072755899e-18,-11.506398004804563,-7.272964163018521,794
M2 DID + controls (restaurant-clustered),roys,-0.5612904483888966,1.321726981339631,-0.42466444001922615,0.6710813099489727,-3.1518277292094177,2.029246832431624,794
M3 matched change (HC1),Intercept,-2.2833333333333377,1.2481404434631929,-1.8293881472166815,0.06734148196546468,-4.729643650169047,0.162976983502372,384
M3 matched change (HC1),treat,2.7500000000000027,1.3377253110290745,2.0557284648254917,0.03980869661335208,0.12810656917537466,5.371893430824631,384
